SITE ID,I or C,Change in tip length (cm),Change in tip length/day (cm),Change in base width (cm),Change in base width/day (cm),Change in tot tip width (cm),Change in tot tip width/day (cm),Change in tip weigth (g),Change in tip weigth/day (g),Change in apical tips count,Change in bladder count
SH,Impact,5,0.111111111,0.1,,4.7,,1.85,0.041111111,15,0
SH,Impact,5,0.111111111,0.3,,3.5,,0.73,0.016222222,3,0
SH,Impact,4.6,0.102222222,0,,5.2,,1.1,0.024444444,4,0
SH,Impact,4.4,0.097777778,0,,6,,1.72,0.038222222,14,0
SH,Impact,5.1,0.113333333,0,,7.3,,1.82,0.040444444,14,0
SH,Impact,-1,-0.022222222,0.3,,3,,-0.78,-0.017333333,0,0
SH,Impact,5.3,0.117777778,1.1,,4.4,,1.42,0.031555556,2,0
SH,Impact,3.6,0.08,0.1,,4.4,,1.52,0.033777778,25,2
SH,Impact,3.3,0.073333333,0.3,,3.9,,-4.95,-0.11,14,0
SH,Impact,3.8,0.084444444,0,,1.9,,1.05,0.023333333,11,0
SH,Impact,5.5,0.122222222,0.2,,6.7,,1.73,0.038444444,15,0
SH,Impact,5,0.111111111,-0.1,,5,,1.91,0.042444444,18,0
SH,Impact,5.6,0.124444444,0,,6.1,,1.57,0.034888889,16,0
SH,Impact,3,0.066666667,0.1,,-1,,0.24,0.005333333,5,0
SH,Impact,3.4,0.075555556,0.3,,2.6,,1.1,0.024444444,19,0
FL,Impact,6.5,0.144444444,-0.1,,4,,1.97,0.043777778,5,0
FL,Impact,4,0.088888889,-0.4,,-0.8,,-0.43,-0.009555556,-5,-1
FL,Impact,3.8,0.084444444,0,,4.7,,3.11,0.069111111,6,0
FL,Impact,3.9,0.086666667,0.3,,4.1,,2.73,0.060666667,9,0
FL,Impact,4.3,0.095555556,0.4,,3.5,,1.61,0.035777778,4,0
FL,Impact,3.4,0.075555556,0.6,,6.8,,1.97,0.043777778,7,0
FL,Impact,6.2,0.137777778,0.2,,5.3,,1.67,0.037111111,-2,-1
FL,Impact,3.3,0.073333333,0.1,,4,,2.94,0.065333333,23,0
FL,Impact,4.7,0.104444444,0.4,,2.7,,1.97,0.043777778,9,0
FL,Impact,2.5,0.055555556,-0.2,,3.4,,2.59,0.057555556,17,0
FL,Impact,4,0.088888889,0.1,,3.8,,1.75,0.038888889,6,0
FL,Impact,2.8,0.062222222,0,,1.9,,2.51,0.055777778,15,0
FL,Impact,4.1,0.091111111,0.8,,6.9,,1.79,0.039777778,12,1
FL,Impact,6.4,0.142222222,0.2,,8.4,,3.95,0.087777778,10,-2
FL,Impact,5,0.111111111,0.1,,8.2,,3.1,0.068888889,16,0
FL,Impact,3.5,0.077777778,0.4,,8.1,,2.79,0.062,19,0
FL,Impact,3.8,0.084444444,0.3,,4.3,,1.76,0.039111111,15,0
FL,Impact,6.5,0.144444444,0,,3.1,,3.72,0.082666667,13,0
FL,Impact,5.1,0.113333333,0.2,,1.4,,1.1,0.024444444,4,-4
FL,Impact,5.1,0.113333333,-0.2,,-5.4,,-0.82,-0.018222222,-9,0
FL,Impact,1.8,0.04,0.1,,5.4,,2.66,0.059111111,4,-1
FL,Impact,2.5,0.055555556,0.1,,2.7,,2.64,0.058666667,14,-2
FL,Impact,3.9,0.086666667,0,,3.9,,2.24,0.049777778,6,0
FL,Impact,4.2,0.093333333,0.1,,2.3,,1.73,0.038444444,12,0
FL,Impact,6.3,0.14,0.1,,2.6,,2.14,0.047555556,18,0
FL,Impact,3.2,0.071111111,-0.3,,6.1,,2.55,0.056666667,17,0
FL,Impact,3.7,0.082222222,0.3,,2.5,,0.58,0.012888889,9,0
FL,Impact,4.3,0.095555556,0,,6,,1.43,0.031777778,10,0
FL,Impact,4.3,0.095555556,1.1,,5.7,,0.91,0.020222222,3,0
FL,Impact,5.1,0.113333333,-0.3,,5.2,,1.42,0.031555556,10,0
FL,Impact,4.5,0.1,0.1,,5.5,,3.07,0.068222222,24,0
FL,Impact,4.8,0.106666667,0.1,,5.4,,1.69,0.037555556,22,0
FL,Impact,6.2,0.137777778,0.1,,6.4,,2.44,0.054222222,31,0
FL,Impact,4.1,0.091111111,0.3,,3.2,,1.33,0.029555556,5,0
FL,Impact,3.9,0.086666667,0.1,,4.6,,1.81,0.040222222,10,0
FL,Impact,3.3,0.073333333,-0.1,,7.4,,1.53,0.034,15,0
FL,Impact,2.9,0.064444444,0.1,,3.8,,0.6,0.013333333,6,0
FL,Impact,2.2,0.048888889,0.1,,4.5,,1.5,0.033333333,25,0
FL,Impact,5.1,0.113333333,0,,9.7,,2.38,0.052888889,18,0
FL,Impact,4.1,0.091111111,0,,7.8,,1.82,0.040444444,16,0
FL,Impact,4.1,0.091111111,0.2,,5.5,,2.85,0.063333333,28,0
FL,Impact,3.6,0.08,0.3,,4.3,,1.72,0.038222222,20,0
KK,Impact,2.5,0.055555556,0,,4.5,,3.82,0.084888889,16,0
KK,Impact,3.6,0.08,0,,-1.7,,0.16,0.003555556,-3,0
KK,Impact,4.1,0.091111111,0,,2.2,,1.96,0.043555556,9,0
KK,Impact,3.1,0.068888889,-0.2,,3.6,,0.12,0.002666667,3,0
KK,Impact,2.5,0.055555556,-0.1,,5.1,,1.55,0.034444444,4,0
KK,Impact,3,0.066666667,0,,5.5,,2.08,0.046222222,5,0
KK,Impact,1.9,0.042222222,-0.3,,5.8,,3.23,0.071777778,14,0
KK,Impact,3,0.066666667,0.1,,2.9,,1.86,0.041333333,10,0
KK,Impact,3.9,0.086666667,-0.3,,6.9,,2.03,0.045111111,14,-4
KK,Impact,4,0.088888889,-0.5,,4.5,,1.61,0.035777778,11,0
KK,Impact,4,0.088888889,-0.1,,4.3,,1.59,0.035333333,11,0
KK,Impact,6.1,0.135555556,0.3,,6.7,,2.74,0.060888889,15,0
KK,Impact,4.1,0.091111111,-0.1,,3.7,,2.12,0.047111111,5,0
KK,Impact,4.4,0.097777778,0.2,,0.9,,2,0.044444444,4,0
KK,Impact,3.6,0.08,-0.3,,6.3,,2.22,0.049333333,6,0
KK,Impact,2.8,0.062222222,0,,4.5,,1.64,0.036444444,3,0
KK,Impact,5.4,0.12,0.1,,4.6,,2.4,0.053333333,16,0
KK,Impact,4.9,0.108888889,0.1,,8,,1.33,0.029555556,11,0
KK,Impact,3.1,0.068888889,-0.2,,5.2,,0.32,0.007111111,8,0
KK,Impact,3.6,0.08,0.6,,7.2,,1.48,0.032888889,8,0
KK,Impact,2.2,0.048888889,-0.2,,4.3,,0.84,0.018666667,9,0
KK,Impact,5.6,0.124444444,0.6,,4.6,,1.75,0.038888889,14,0
KK,Impact,1,0.022222222,-0.1,,1,,0.11,0.002444444,5,0
KK,Impact,3.3,0.073333333,0.1,,4.1,,1.32,0.029333333,12,-1
