SITE ID,I or C,DATE,Genotype,Tile number,DONOR SITE,Bush length,Bush weight,June tip length tot (cm),July tip length tot (cm),Change tip length tot (cm),Change tip length tot (cm)/day,"Tip ""base"" width (cm)",Tot tip width (cm),Tip weight (g),Apikal tips (amount),Bladders (amount),Dry weight,Comments
SK,Control,29.7.2025,L,1,Baggen 2,51.1,200.6,8.3,12.7,4.4,0.095652174,1.3,10.5,2.1,10,0,,
SK,Control,29.7.2025,L,2,Baggen 2,51.1,200.6,9.6,14.4,4.8,0.104347826,1.4,9.6,3.1,12,0,,
SK,Control,29.7.2025,L,3,Baggen 2,51.1,200.6,8,12.4,4.4,0.095652174,1.4,10.8,2.7,27,0,,
AL,Control,29.7.2025,L,1,Baggen 2,51.1,200.6,10,14.2,4.2,0.091304348,1.8,8.3,2.5,10,0,,
AL,Control,29.7.2025,L,2,Baggen 2,51.1,200.6,10.1,14.3,4.2,0.091304348,1.1,9,2.4,24,0,,
AL,Control,29.7.2025,L,3,Baggen 2,51.1,200.6,9,13.2,4.2,0.091304348,1.3,9,1.9,7,0,,
VL,Control,29.7.2025,L,1,Baggen 2,51.1,200.6,10.5,15.8,5.3,0.115217391,1.3,18.3,4.1,25,0,,
VL,Control,29.7.2025,L,2,Baggen 2,51.1,200.6,8.5,14.5,6,0.130434783,1.3,9.7,2.4,23,0,,
VL,Control,29.7.2025,L,3,Baggen 2,51.1,200.6,8.7,13.1,4.4,0.095652174,1,8.4,2.1,16,0,,
JO,Control,29.7.2025,L,1,Baggen 2,51.1,200.6,11.2,16.7,5.5,0.119565217,1.2,15,3.6,22,0,,
JO,Control,29.7.2025,L,3,Baggen 2,51.1,200.6,8.5,13.5,5,0.108695652,1.3,9.4,2.1,15,0,,
OK,Impact,29.07.2025,M,1,Baggen 3,36.2,91.5,10,12,2,0.043478261,1.5,8,2,7,1,,
OK,Impact,29.07.2025,M,2,Baggen 3,36.2,91.5,9.4,11.3,1.9,0.041304348,2.1,10.4,1.9,5,1,,
SH,Impact,29.07.2025,M,2,Baggen 3,36.2,91.5,10.5,9.5,-1,-0.022222222,1.5,12.5,1.6,11,0,,
SH,Impact,29.07.2025,M,3,Baggen 3,36.2,91.5,8.6,13.9,5.3,0.117777778,2.2,10.6,2.9,12,0,,
FL,Impact,29.07.2025,M,1,Baggen 3,36.2,91.5,8.1,12.2,4.1,0.091111111,1.7,6.2,2.3,8,0,,
FL,Impact,29.07.2025,M,2,Baggen 3,36.2,91.5,8.1,12,3.9,0.086666667,1.3,13.6,3,17,0,,
KK,Impact,29.07.2025,M,2,Baggen 3,36.2,91.5,7.8,11.1,3.3,0.073333333,2.1,8.9,2.5,18,0,,
SK,Control,29.07.2025,M,1,Baggen 3,36.2,91.5,8.2,11.7,3.5,0.076086957,2.5,11,3.1,12,,0,
SK,Control,29.07.2025,M,3,Baggen 3,36.2,91.5,7.6,11.2,3.6,0.07826087,1.4,6,1.5,6,0,,
AL,Control,29.07.2025,M,1,Baggen 3,36.2,91.5,8.4,10.6,2.2,0.047826087,1,16,3,23,0,,
AL,Control,29.07.2025,M,2,Baggen 3,36.2,91.5,8.2,12.5,4.3,0.093478261,1.9,7.6,1.9,6,0,,
AL,Control,29.07.2025,M,3,Baggen 3,36.2,91.5,8.3,12.7,4.4,0.095652174,2,6.3,2.2,11,0,,
VL,Control,29.07.2025,M,1,Baggen 3,36.2,91.5,7.7,12,4.3,0.093478261,1.8,7.8,1.9,10,0,,
VL,Control,29.07.2025,M,2,Baggen 3,36.2,91.5,8.2,11,2.8,0.060869565,2,10.1,2.5,20,0,,
VL,Control,29.07.2025,M,3,Baggen 3,36.2,91.5,8,11.6,3.6,0.07826087,1.7,8.8,2.2,13,0,,
JO,Control,29.07.2025,M,1,Baggen 3,36.2,91.5,8.2,12.2,4,0.086956522,2,10.7,2.2,13,0,,
JO,Control,29.07.2025,M,2,Baggen 3,36.2,91.5,7.8,12.2,4.4,0.095652174,2.3,15.2,3.5,15,0,,
JO,Control,29.07.2025,M,3,Baggen 3,36.2,91.5,8.2,12.6,4.4,0.095652174,1.6,6.9,2.1,13,0,,
OK,Impact,29.7.2025,N,1,Västra Jönisholm 1,28.6,63.3,8.2,11.1,2.9,0.063043478,1.4,11.9,2.9,25,2,,
OK,Impact,29.7.2025,N,2,Västra Jönisholm 1,28.6,63.3,8.4,9.5,1.1,0.023913043,1.4,11.3,2.1,19,0,,Kaksi päädyistä rikki ja pikkuisia karvaa noin 1mm (?)
OK,Impact,29.7.2025,N,3,Västra Jönisholm 1,28.6,63.3,8.5,11,2.5,0.054347826,1.2,15,3.4,35,2,,
SH,Impact,29.7.2025,N,1,Västra Jönisholm 1,28.6,63.3,8,11.6,3.6,0.08,1.3,12.5,3.1,36,2,,
SH,Impact,29.7.2025,N,2,Västra Jönisholm 1,28.6,63.3,8.7,12,3.3,0.073333333,1.3,11.4,2.4,22,1,,
SH,Impact,29.7.2025,N,3,Västra Jönisholm 1,28.6,63.3,8.9,12.7,3.8,0.084444444,1.2,7.4,2,19,0,,
FL,Impact,29.7.2025,N,1,Västra Jönisholm 1,28.6,63.3,8,11.3,3.3,0.073333333,0.9,13.9,2.5,25,0,,
FL,Impact,29.7.2025,N,2,Västra Jönisholm 1,28.6,63.3,8.4,11.3,2.9,0.064444444,1.1,7.3,1.5,12,0,,
FL,Impact,29.7.2025,N,3,Västra Jönisholm 1,28.6,63.3,9.2,11.4,2.2,0.048888889,1.1,12.5,2.7,35,0,,
KK,Impact,29.7.2025,N,1,Västra Jönisholm 1,28.6,63.3,8.1,10.2,2.1,0.046666667,1,10.6,2.2,20,0,,
KK,Impact,29.7.2025,N,2,Västra Jönisholm 1,28.6,63.3,6.9,9,2.1,0.046666667,1.4,9.1,1.7,12,0,,
SK,Control,29.7.2025,N,1,Västra Jönisholm 1,28.6,63.3,8,10.5,2.5,0.054347826,1.2,9.1,2,14,0,,
SK,Control,29.7.2025,N,3,Västra Jönisholm 1,28.6,63.3,8,10.9,2.9,0.063043478,1.1,12.6,2.9,28,0,,
AL,Control,29.7.2025,N,1,Västra Jönisholm 1,28.6,63.3,7.5,10.2,2.7,0.058695652,1.1,13,2.3,25,0,,
AL,Control,29.7.2025,N,2,Västra Jönisholm 1,28.6,63.3,7.7,10.1,2.4,0.052173913,1.5,11.8,3.1,34,0,,
AL,Control,29.7.2025,N,3,Västra Jönisholm 1,28.6,63.3,9.4,11.1,1.7,0.036956522,1.1,9.1,2.1,17,0,,
VL,Control,29.7.2025,N,1,Västra Jönisholm 1,28.6,63.3,7.5,10.5,3,0.065217391,1.2,8.5,1.6,10,0,,
VL,Control,29.7.2025,N,2,Västra Jönisholm 1,28.6,63.3,8.3,11,2.7,0.058695652,1.1,9,2.3,28,0,,
VL,Control,29.7.2025,N,3,Västra Jönisholm 1,28.6,63.3,8.4,11,2.6,0.056521739,1.4,12.4,2.4,16,0,,
JO,Control,29.7.2025,N,1,Västra Jönisholm 1,28.6,63.3,7.5,9.7,2.2,0.047826087,1,6.9,1.4,13,0,,därtill 2 tips där * 4& 9 st tips från skurna receptakler
JO,Control,29.7.2025,N,2,Västra Jönisholm 1,28.6,63.3,5.5,9.1,3.6,0.07826087,1.1,8.6,1.4,13,0,,En av tipsen * med 6 riktit små tips
JO,Control,29.7.2025,N,3,Västra Jönisholm 1,28.6,63.3,5.7,9.7,4,0.086956522,1.3,6.8,1.2,6,0,,
OK,Impact,29.07.2025,O,1,Västra Jönisholm 2,50,111.4,7.9,13.2,5.3,0.115217391,2.4,13.3,3.9,21,4,,
OK,Impact,29.07.2025,O,2,Västra Jönisholm 2,50,111.4,7.6,13,5.4,0.117391304,1.9,9,2.5,9,3,,
OK,Impact,29.07.2025,O,3,Västra Jönisholm 2,50,111.4,9.1,12,2.9,0.063043478,1.5,9,1.4,13,0,,
SH,Impact,29.07.2025,O,1,Västra Jönisholm 2,50,111.4,7.7,13.2,5.5,0.122222222,1.8,13.7,2.9,21,2,,
SH,Impact,29.07.2025,O,2,Västra Jönisholm 2,50,111.4,9.7,14.7,5,0.111111111,1.3,12.9,3.5,27,0,,
SH,Impact,29.07.2025,O,3,Västra Jönisholm 2,50,111.4,6.9,12.5,5.6,0.124444444,1.1,14.3,2.8,27,0,,
FL,Impact,29.07.2025,O,1,Västra Jönisholm 2,50,111.4,8.2,13.3,5.1,0.113333333,1.8,15,4.1,28,3,,
FL,Impact,29.07.2025,O,3,Västra Jönisholm 2,50,111.4,8,12.1,4.1,0.091111111,1.3,14.9,3.1,25,0,,
KK,Impact,29.07.2025,O,1,Västra Jönisholm 2,50,111.4,8.5,13.7,5.2,0.115555556,1.8,12.3,3.2,25,0,,
KK,Impact,29.07.2025,O,2,Västra Jönisholm 2,50,111.4,8.2,11,2.8,0.062222222,1.3,12,2.4,24,0,,
SK,Control,29.07.2025,O,1,Västra Jönisholm 2,50,111.4,9.1,14,4.9,0.106521739,2.1,15.5,4.8,29,0,,
SK,Control,29.07.2025,O,2,Västra Jönisholm 2,50,111.4,8.2,10.3,2.1,0.045652174,1.5,15.4,3.7,29,0,,
SK,Control,29.07.2025,O,3,Västra Jönisholm 2,50,111.4,8.7,12,3.3,0.07173913,0.9,13.4,3.8,31,0,,
AL,Control,29.07.2025,O,1,Västra Jönisholm 2,50,111.4,7.9,11.5,3.6,0.07826087,1.2,10.3,1.9,18,0,,
AL,Control,29.07.2025,O,2,Västra Jönisholm 2,50,111.4,7.9,12.2,4.3,0.093478261,1.6,13.3,2.5,17,0,,
AL,Control,29.07.2025,O,3,Västra Jönisholm 2,50,111.4,8.1,12,3.9,0.084782609,2.1,10.7,2.7,23,0,,
VL,Control,29.07.2025,O,1,Västra Jönisholm 2,50,111.4,8.6,13.5,4.9,0.106521739,1.8,13.1,3,17,0,,
VL,Control,29.07.2025,O,2,Västra Jönisholm 2,50,111.4,8.1,12,3.9,0.084782609,0.9,12.1,2.2,19,0,,
VL,Control,29.07.2025,O,3,Västra Jönisholm 2,50,111.4,8.9,13.4,4.5,0.097826087,1.2,13,2.3,13,0,,
JO,Control,29.07.2025,O,1,Västra Jönisholm 2,50,111.4,8.5,12.2,3.7,0.080434783,1,10.6,2.9,25,0,,
JO,Control,29.07.2025,O,2,Västra Jönisholm 2,50,111.4,8.5,12.8,4.3,0.093478261,2.1,12,3.3,24,0,,
JO,Control,29.07.2025,O,3,Västra Jönisholm 2,50,111.4,8.2,11.7,3.5,0.076086957,1.2,13.9,3.1,28,0,,
OK,Impact,29.7.2025,P,1,Västra Jönisholm 3,43,314.7,9.9,12.2,2.3,0.05,1.5,13.5,4.5,33,0,,
OK,Impact,29.7.2025,P,2,Västra Jönisholm 3,43,314.7,9.2,12,2.8,0.060869565,1.5,19,5.7,50,0,,
OK,Impact,29.7.2025,P,3,Västra Jönisholm 3,43,314.7,8.1,12.5,4.4,0.095652174,1.8,15,3.4,15,0,,
SH,Impact,29.7.2025,P,1,Västra Jönisholm 3,43,314.7,7.8,10.8,3,0.066666667,1.5,6.3,1.6,13,0,,
SH,Impact,29.7.2025,P,2,Västra Jönisholm 3,43,314.7,9.6,13,3.4,0.075555556,1.6,9.7,3,28,0,,
FL,Impact,29.7.2025,P,1,Västra Jönisholm 3,43,314.7,11.4,15.5,4.1,0.091111111,1.7,13.1,6.4,41,0,,
FL,Impact,29.7.2025,P,3,Västra Jönisholm 3,43,314.7,10.5,14.1,3.6,0.08,2,13,3.8,30,0,,
KK,Impact,29.7.2025,P,1,Västra Jönisholm 3,43,314.7,9.1,12.1,3,0.066666667,1.5,14.1,4,29,0,,
KK,Impact,29.7.2025,P,2,Västra Jönisholm 3,43,314.7,8.2,12.4,4.2,0.093333333,1.7,7.8,2,8,0,,
SK,Control,29.7.2025,P,1,Västra Jönisholm 3,43,314.7,9.2,13,3.8,0.082608696,1.5,7,3,19,0,,
SK,Control,29.7.2025,P,2,Västra Jönisholm 3,43,314.7,8.5,10.7,2.2,0.047826087,1.7,12,3.8,27,0,,
SK,Control,29.7.2025,P,3,Västra Jönisholm 3,43,314.7,9.3,11.9,2.6,0.056521739,1.4,7.1,3.1,26,0,,
AL,Control,29.7.2025,P,1,Västra Jönisholm 3,43,314.7,9.6,12.9,3.3,0.07173913,1.5,14.5,3.3,27,0,,
AL,Control,29.7.2025,P,2,Västra Jönisholm 3,43,314.7,8.6,12.5,3.9,0.084782609,1.6,14.2,3,14,0,,
AL,Control,29.7.2025,P,3,Västra Jönisholm 3,43,314.7,9.4,13.1,3.7,0.080434783,2.1,8.7,2.6,12,0,,
VL,Control,29.7.2025,P,1,Västra Jönisholm 3,43,314.7,8.2,11,2.8,0.060869565,1.5,10.8,2.8,26,0,,
VL,Control,29.7.2025,P,2,Västra Jönisholm 3,43,314.7,8.7,12,3.3,0.07173913,1.9,13.1,3.8,38,0,,
VL,Control,29.7.2025,P,3,Västra Jönisholm 3,43,314.7,8.5,12.3,3.8,0.082608696,1.4,11,3.3,22,0,,
JO,Control,29.7.2025,P,1,Västra Jönisholm 3,43,314.7,8.1,11.1,3,0.065217391,1.2,9.5,2.3,23,0,,
JO,Control,29.7.2025,P,2,Västra Jönisholm 3,43,314.7,9.4,12.8,3.4,0.073913043,1.3,11.7,3.6,32,0,,
JO,Control,29.7.2025,P,3,Västra Jönisholm 3,43,314.7,9.5,12.7,3.2,0.069565217,1.4,14.3,4.7,45,0,,
